Movie,Length,Year,Rating,Genre,Director
Lunana: A Yak in Classroom,110,2019,7.3,Drama,Pawo Choyning Dorji
The Cup,93,1999,6.9,Sport,Khyentse Norbu
Milarepa,90,2006,7,Biography,Neten Chokling
Hema Hema: Sing Me a Song While I wait,96,2016,6.8,Drama,Khyentse Norbu
The Red Phallus,85,2018,6.5,Drama,Tashi Gyeltshen
Honeygiver Among the Dos,132,2016,6.8,Mystery,Dechen Roder
School Among Glaciers,72,2003,NA,Documentary,Dorji Wangchuk
Kushuthra: Pattern of Love,92,2017,7.4,Romance,Karma Deki
Gyalsey: Legacy of a Prince,100,2015,7.0,Drama,Jamyang Jamtsho Wangchuk
Singye,NA,2018,6.4,Action,Sonam Dorji Casper
Nge Tsawai Lama,NA,2017,NA,Drama,Wangchuk Talop
The Farmer,93,2016,NA,Documentary,Irja von Bernstorff
3 years 3 Month Retreat,20,2015,7.5,Mystery,Dechen Roder
Gasa Lamai Singye,NA,1989,NA,Drama,Ugyen Wangdi
"Thank Yo, Sir! I Am A Teacher",190,2012,NA,Drama,Tshering Gyeltshen
49th Day,135,2006,NA,Fantasy,Namgay Retty
Price of Knowledge,35,1999,NA,Documentary,Ugyen Wangdi
"Norbu, My Beloved Yak",90,2006,6.8,Drama,Pelden Dorji
Muti thrilling,165,2005,6.4,Drama,Pelden Dorji
Prophecy,72,2015,6.4,Drama,Zuri Rinpoche
Lekzin,120,2016,NA,Drama,Druksel Dorji
The Vested Astrologer,135,2019,NA,Drama,Kinga Kinley Tshering
The Wind of Karma,67,2019,NA,Drama,Karma Lhatrul Dorji
The Container,13,2011,NA,Drama,Jamyang Dorji
An Original Photocopy of Happiness,23,2011,NA,Drama,Dechen Roder
Bhutan,12,2013,NA,Documentary,Nathan Herbeck
Songs of Wind,105,2010,NA,Music,Pelden Dorji
Lengo,NA,2005,NA,Drama,Chencho Dorji
Kalden,NA,2019,NA,Documentary,NA
Asocial,5,NA,NA,Mystery,Jamyang Dorji
Tshampa,135,2002,NA,Drama,Pema Rinzin
"BYkids: Buddhism, Bhutan and ME",27,2021,NA,Documentary,Rinzin Jurmey
The Red Door,15,2014,NA,Drama,Tashi Gyeltshen
Girl with a Red Sky,NA,2011,NA,Drama,Tashi Gyeltshen
86 Centimetres,39,2012,NA,Documentary,Tshering Gyeltshen
Nyen dang dra,NA,2003,NA,Drama,NA
Serga Mathang,NA,2016,NA,Drama,Kezang P. Jigmee
Hum Chewai Zamling,100,2017,4.5,Drama,Wangchuk Talop
Elegant Bum Rinzi,118,2017,NA,History,Tshering Dorji
Nazhoen Char,NA,2008,NA,Crime,NA
Sem Kha Zha Na,NA,2012,NA,Romance,Karma Singay
The Undying Love of Pemai Tshewang Tashi,NA,2015,NA,Drama,Wangchuk Talop
Heart in the Mandala,NA,2015,NA,Drama,Dechen Roder
AP Bokto,53,2014,8.3,Animation,Karma Dhendrup
Bardo: The Intermediate State,150,2010,NA,Drama,Chencho Dorji
Dharma: finding the right path,95,2016,NA,Drama,Chencho Dorji
"Baeyul, the Hidden paradise",160,2014,NA,Action,Tshering Gyeltshen
Price of letter,68,2004,NA,Documentary,Ugyen Wangdi
Birds in Cages,NA,2011,NA,Drama,Karma Deki
Nging Tsey Mi Tsaye Kilkhor,40,2013,NA,Drama,Dechen Roder